"","e10","e11","gender","student","maletype","diff10_11"
"1",0.690807799442897,0.938118811881188,"Male","Student",0.568842268842269,0.247311012438291
"2",1,0.938118811881188,"Female","Non-Student",0.575757575757576,-0.061881188118812
"3",0.142061281337047,0.938118811881188,"Male","Student",0.696927344726087,0.796057530544141
"4",0.534818941504178,0.938118811881188,"Female","Non-Student",0.49845513963161,0.40329987037701
"5",1,0.938118811881188,"Female","Non-Student",0.57225745830397,-0.061881188118812
"6",1,0.938118811881188,"Male","Student",0.602557627557628,-0.061881188118812
"7",1,0.938118811881188,"Male","Student",0.61166300242101,-0.061881188118812
"8",0.690807799442897,0.938118811881188,"Male","Student",0.626114184613631,0.247311012438291
"9",0.690807799442897,0.938118811881188,"Male","Student",0.693897041695784,0.247311012438291
"10",0.84958217270195,0.881188118811881,"Male","Non-Student",0.669082357971247,0.0316059461099309
"11",0.690807799442897,0.881188118811881,"Female","Non-Student",0.621212121212121,0.190380319368984
"12",0.84958217270195,0.685643564356436,"Male","Non-Student",0.567474747474747,-0.163938608345514
"13",0.84958217270195,0.881188118811881,"Female","Non-Student",0.661806864997488,0.0316059461099309
"14",0.84958217270195,0.782178217821782,"Male","Non-Student",0.696927344726087,-0.067403954880168
"15",0.534818941504178,0.829207920792079,"Female","Non-Student",0.623313131313131,0.294388979287901
"16",0.690807799442897,0.829207920792079,"Male","Student",0.620453514739229,0.138400121349182
"17",0.84958217270195,0.829207920792079,"Male","Non-Student",0.597727272727273,-0.0203742519098711
"18",0.142061281337047,0.829207920792079,"Female","Non-Student",0.493030303030303,0.687146639455032
"19",1,0.685643564356436,"Female","Student",0.719877344877345,-0.314356435643564
"20",0.933147632311978,0.782178217821782,"Female","Student",0.490848157444796,-0.150969414490196
"21",0.222841225626741,0.782178217821782,"Female","Non-Student",0.530909090909091,0.559336992195041
"22",0.84958217270195,0.685643564356436,"Male","Non-Student",0.684581665713741,-0.163938608345514
"23",0.84958217270195,0.782178217821782,"Female","Student",0.624851339137053,-0.067403954880168
"24",0.690807799442897,0.782178217821782,"Male","Student",0.62044232069149,0.0913704183788849
"25",1,0.618811881188119,"Female","Non-Student",0.512198912198912,-0.381188118811881
"26",0.362116991643454,0.586633663366337,"Female","Non-Student",0.663078677144161,0.224516671722883
"27",0.362116991643454,0.685643564356436,"Male","Non-Student",0.720488802756244,0.323526572712982
"28",0.84958217270195,0.685643564356436,"Male","Non-Student",0.684045121545122,-0.163938608345514
"29",0.534818941504178,0.685643564356436,"Female","Non-Student",0.647397717111766,0.150824622852258
"30",0.84958217270195,0.685643564356436,"Male","Non-Student",0.675204225453395,-0.163938608345514
"31",1,0.685643564356436,"Female","Non-Student",0.615569512248758,-0.314356435643564
"32",0.690807799442897,0.48019801980198,"Female","Student",0.597914023960536,-0.210609779640917
