"","Score.Mean","FirstAuthorGender","student","AuthorCode","nmo","conference","rank","maletype","year","po","review"
"396",0,"m","Non-Student",NA,"a","EvoLang9",0,NA,0,1,"Single"
"397",0,"m","Non-Student",NA,"a","EvoLang9",0,NA,0,1,"Single"
"398",0.888888888888889,"m","Non-Student",NA,"w","EvoLang9",0.914772727272727,NA,0,1,"Single"
"399",0.916666666666667,"m","Non-Student",NA,"a","EvoLang9",0.948863636363636,NA,0,1,"Single"
"400",0.611111111111111,"f","Non-Student",NA,"a","EvoLang9",0.579545454545455,NA,0,1,"Single"
"401",0.888888888888889,"m","Non-Student",NA,"w","EvoLang9",0.914772727272727,NA,0,1,"Single"
"402",0.611111111111111,"f","Non-Student",NA,"w","EvoLang9",0.579545454545455,NA,0,1,"Single"
"403",0.916666666666667,"m","Non-Student",NA,"w","EvoLang9",0.948863636363636,NA,0,1,"Single"
"404",0.333333333333333,"m","Non-Student",NA,"e","EvoLang9",0.227272727272727,NA,0,1,"Single"
"405",0.583333333333333,"m","Student",NA,"w","EvoLang9",0.534090909090909,NA,0,1,"Single"
"406",0,"m","Non-Student",NA,"w","EvoLang9",0,NA,0,1,"Single"
"407",0.333333333333333,"m","Non-Student",NA,"a","EvoLang9",0.227272727272727,NA,0,1,"Single"
"408",0.5,"m","Non-Student",NA,"w","EvoLang9",0.397727272727273,NA,0,1,"Single"
"409",0.5,"m","Non-Student",NA,"w","EvoLang9",0.397727272727273,NA,0,1,"Single"
"410",0.666666666666667,"m","Student",NA,"w","EvoLang9",0.625,NA,0,1,"Single"
"411",0.833333333333333,"m","Non-Student",NA,"w","EvoLang9",0.829545454545455,NA,0,1,"Single"
"412",0.722222222222222,"m","Non-Student",NA,"w","EvoLang9",0.678977272727273,NA,0,1,"Single"
"413",0.833333333333333,"m","Non-Student",73,"a","EvoLang9",0.829545454545455,NA,0,1,"Single"
"414",0.111111111111111,"m","Non-Student",NA,"m","EvoLang9",0.0340909090909091,NA,0,1,"Single"
"415",0.0833333333333333,"m","Student",NA,"a","EvoLang9",0.0227272727272727,NA,0,1,"Single"
