"","authorNum","rank","FirstAuthorGender","conference","student","Score.Mean"
"1 EvoLang10","1",0.690807799442897,"Male","EvoLang10",TRUE,0.776666666666667
"1 EvoLang11","1",0.938118811881188,"Male","EvoLang11",TRUE,1
"10 EvoLang10","10",0.84958217270195,"Male","EvoLang10",FALSE,0.89
"10 EvoLang11","10",0.881188118811881,"Male","EvoLang11",FALSE,0.944444444444445
"11 EvoLang10","11",0.690807799442897,"Female","EvoLang10",TRUE,0.776666666666667
"11 EvoLang11","11",0.881188118811881,"Female","EvoLang11",TRUE,0.944444444444445
"12 EvoLang10","12",0.84958217270195,"Male","EvoLang10",FALSE,0.89
"12 EvoLang11","12",0.685643564356436,"Male","EvoLang11",FALSE,0.833333333333333
"12 EvoLang9","12",1,"Male","EvoLang9",FALSE,1
"13 EvoLang10","13",0.84958217270195,"Female","EvoLang10",FALSE,0.89
"13 EvoLang11","13",0.881188118811881,"Female","EvoLang11",FALSE,0.944444444444445
"14 EvoLang10","14",0.84958217270195,"Male","EvoLang10",FALSE,0.89
"14 EvoLang11","14",0.782178217821782,"Male","EvoLang11",FALSE,0.888888888888889
"15 EvoLang10","15",0.534818941504178,"Female","EvoLang10",FALSE,0.666666666666667
"15 EvoLang11","15",0.829207920792079,"Female","EvoLang11",FALSE,0.916666666666667
"16 EvoLang10","16",0.690807799442897,"Male","EvoLang10",TRUE,0.776666666666667
"16 EvoLang11","16",0.829207920792079,"Male","EvoLang11",TRUE,0.916666666666667
"16 EvoLang9","16",0.173295454545455,"Male","EvoLang9",TRUE,0.277777777777778
"17 EvoLang10","17",0.84958217270195,"Male","EvoLang10",FALSE,0.89
"17 EvoLang11","17",0.829207920792079,"Male","EvoLang11",FALSE,0.916666666666667
"18 EvoLang10","18",0.142061281337047,"Female","EvoLang10",FALSE,0.333333333333333
"18 EvoLang11","18",0.829207920792079,"Female","EvoLang11",FALSE,0.916666666666667
"18 EvoLang9","18",0.948863636363636,"Female","EvoLang9",FALSE,0.916666666666667
"19 EvoLang10","19",1,"Female","EvoLang10",TRUE,1
"19 EvoLang11","19",0.685643564356436,"Female","EvoLang11",TRUE,0.833333333333333
"2 EvoLang10","2",1,"Female","EvoLang10",FALSE,1
"2 EvoLang11","2",0.938118811881188,"Female","EvoLang11",FALSE,1
"2 EvoLang9","2",0.829545454545455,"Female","EvoLang9",FALSE,0.833333333333333
"20 EvoLang10","20",0.933147632311978,"Female","EvoLang10",TRUE,0.916666666666667
"20 EvoLang11","20",0.782178217821782,"Female","EvoLang11",TRUE,0.888888888888889
"20 EvoLang9","20",0.914772727272727,"Female","EvoLang9",TRUE,0.888888888888889
"21 EvoLang10","21",0.222841225626741,"Female","EvoLang10",FALSE,0.443333333333333
"21 EvoLang11","21",0.782178217821782,"Female","EvoLang11",FALSE,0.888888888888889
"22 EvoLang10","22",0.84958217270195,"Male","EvoLang10",FALSE,0.89
"22 EvoLang11","22",0.685643564356436,"Male","EvoLang11",FALSE,0.833333333333333
"22 EvoLang9","22",0.829545454545455,"Male","EvoLang9",FALSE,0.833333333333333
"23 EvoLang10","23",0.84958217270195,"Female","EvoLang10",TRUE,0.89
"23 EvoLang11","23",0.782178217821782,"Female","EvoLang11",TRUE,0.888888888888889
"23 EvoLang9","23",0.227272727272727,"Female","EvoLang9",TRUE,0.333333333333333
"24 EvoLang10","24",0.690807799442897,"Male","EvoLang10",TRUE,0.776666666666667
